barcode,name,calories,protein,fat,carbs,brand,weight
4820002300849,"Печиво Бісквіт-Шоколад діабетичне на сорбіті 200г",433,7.8,14.6,67.6,"Бісквіт-Шоколад","200"
4820002305431,"Печиво Бісквіт-Шоколад діабетичне на фруктозі 400г",425,7.9,13.5,67.1,"Бісквіт-Шоколад","400"
4820287150146,"Добавка дієтична ГематоBar Гематовіт Ванільно-вершкова 40г",0,0,0,0,"ГематоBar","40"
4820287150153,"Добавка дієтична ГематоBar Гематовіт Дубайський шоколад 40г",0,0,0,0,"ГематоBar","40"
4820287150160,"Добавка дієтична ГематоBar Гематовіт Карамель-груша 40г",0,0,0,0,"ГематоBar","40"
4820153600492,"Борошно бананове Екород органічне 200г",333,4.3,0.6,77,"Екород","200"
4820153600706,"Борошно Екород кукурудзяне органічне 500г",0,5.6,1.4,82.8,"Екород","500"
4820007057472,"Халва Жайвір соняшникова глазурована зі стевією 68г",485,10.9,34.2,35.7,"Жайвір","68"
4820007057434,"Грильяж Жайвір Повітряний рис+арахіс на фруктозі 24г",423,7.8,18.5,51.4,"Жайвір","24"
4820007057373,"Халва Жайвір соняшникова на фруктозі 58г",510,12,34,41,"Жайвір","58"
4820007057458,"Грильяж Жайвір Повітряний рис + арахіс глазурований на фруктозі 36г",450,5.7,20,64.1,"Жайвір","36"
4820113926501,"Батончик-мюслі Здоровий перекус Лимон-імбир 25г",280,5.5,11.5,36,"Здоровий Перекус","25"
4820113926556,"Добавка дієтична Здоровий перекус у шоколадній глазурі  40г",412,7,32,14.2,"Здоровий Перекус","40"
4820113926525,"Батончик-мюслі Здоровий перекус Жимолость-амарант 25г",280,5.5,11.5,36,"Здоровий Перекус","25"
4820113926549,"Добавка дієтична Здоровий перекус з какао у шоколадній глазурі 40г",412,7,36,14.2,"Здоровий Перекус","40"
4820113926532,"Батончик-мюслі Здоровий перекус Апельсин-кіноа 25г",280,5.5,11.5,36,"Здоровий Перекус","25"
4820269770065,"Печиво Кохана протеїнове горіхово-бананове 50г",390.5,11.8,14.9,51.8,"Кохана","50"
4820123510646,"Сік Малятко яблучно-виноградний 200мл",47,0,0,11.5,"Малятко",""
4820257170570,"Йогурт Рідна земля без цукру 2,5% 150г",57,4,2.5,4.7,"Рідна земля","150"
4820078232006,"Батончик енергетичний Солодкий Світ Фруктовий хліб Банановий 60г",352,6.7,9.6,59.9,"Сладкий Мир","60"
4820078232013,"Батончик енергетичний Солодкий світ Фруктовий хліб з яблучним пирогом 60г",349,8.1,11.2,53.9,"Сладкий Мир","60"
4823071342499,"Батончик Субота з альбуміном 50г",411,7.7,7.3,78.7,"Субота","50"
4820199500060,"Суміш молочна суха Малютка 2 для дітей з 6 місяців 350г",508.8,10.8,26,58,"малютка","350"
5900385503415,"Кетчуп Kotlin Лагідний без цукру 420г",0,0,0,0,"Kotlin","420"
4820178462921,"Фруктоза Akura 450г",368,0,0,0,"Akura","450"
4779048081147,"Макаронні вироби Al Dente Фузіллі без глютену 400г",338,5.3,0.9,75.8,"Al Dente","400"
4820217340555,"Тофу Alive №12 в маринаді каррі 240г",70,6.7,4.2,1.7,"Alive","240"
5902837741024,"Печиво AllNutrition Fitking Delicious біле вершкове арахісове без цукру 128г",518,11,35,47,"AllNutrition","128"
5902837740638,"Печиво AllNutrition Fitking Delicious з подвійним шоколадом без цукру 128г",456,6,29,53,"AllNutrition","128"
5902837748764,"Вафлі AllNutrition Fitking Delicious з какао без цукру 80г",508,9.4,31,50,"AllNutrition","80"
5902837749181,"Печиво AllNutrition Fitking Delicious зі смаком чизкейка 128г",0,0,0,0,"AllNutrition","128"
3800233091151,"Чипси Livity рисові морська сіль і лайм 60г",418,6.7,16,61,"B.yond","60"
8076809545440,"Макаронні вироби Barilla Спагетті №5 без глютену 400г",359,6.5,1.8,78.7,"Barilla","400"
5906688231109,"Брецели Bezgluten солоні без глютену 70г",0,0,0,0,"Bezgluten","70"
5999076255498,"Протеїн Biotech Iso Whey Zero Lactose Free Кофе латте 25г",93,21,1.3,0,"Biotech","25"
5999076238590,"Протеїн Biotech 100% Pure Whey Рисовий пудинг 28г",383,76,6.4,5,"Biotech","28"
8437004254320,"Вино Aranleon Bles Blanco біле сухе 12,5% 0,75л",85,0.2,0,4,"Bles",""
8683092520322,"Сніданок сухий Dr.Gluten Пластівці з овочевого соку органічні без глютену 225г",385,6.8,4,77.5,"Dr.Gluten","225"
5202175001089,"Чипси El Sabor Начос натуральний смак 100г",505,6.1,24,68,"El Sabor","100"
6411200111566,"Пластівці вівсяні Elovena без глютену 500г",370,14,8,55,"Elovena","500"
4019300171132,"Десерт сирковий Exquisa Zero Манго без цукру 0,2% 400г",50,7.4,0.2,4.3,"Exquisa","400"
4820262540580,"Батончик Fizi Brownie Babe у шоколадній глазурі 45г",602,11,46.3,31,"Fizi","45"
5908234811407,"Вафлі Fils з наповнювачем з какао без глютена, без лактози та без доданого цукру 95г",496,3.5,29,62,"Flis","95"
5908234811438,"Вафлі Fils з ванільним наповнювачем без глютена, без лактози та без доданого цукру 95г",539,5.1,31,60,"Flis","95"
4820224630205,"Хлібці Frango нутові з кмином 100г",439,13.2,22.6,45.3,"Frango","100"
4820043014880,"Батончик Golden Kings of Ukraine Гранола яблуко та кориця 30г",454,10,19,65,"Golden Kings of Ukraine","30"
